id;distancia;velocidad;costo;paths;factor_trafico
35139918;0.20938110000000001;40.0;0.0013086250000000001;[35139917, 35139919, 111886541, 111966874];4
35139919;0.1773546;40.0;0.0044339;[35139918];1
35139921;0.1549151;40.0;0.00193645;[35139904, 35139923];2
35139923;0.20534950000000002;40.0;0.0025669;[35116489, 35139921, 35139925];1
35139925;0.0455871;40.0;0.0011397;[35139923];4
35140114;0.3141132;40.0;0.001963225;[35116488, 35140136, 111952297, 111955348, 111959510];2
35140126;0.3292608;40.0;0.0016462999999999998;[24305428, 35140127, 35140133, 35140136, 111952297];3
35140127;0.2585165;40.0;0.0032314500000000003;[35140126, 35140130, 35140136];1
35140129;0.3108511;40.0;0.0025904;[35140130, 35140136, 129897420];1
35140130;0.3574225;40.0;0.0022339;[24305428, 35140127, 35140129, 35140133, 35140136];2
35140133;0.1380471;40.0;0.0034512;[35140126, 35140130];1
35140135;0.1847765;40.0;0.0046194;[35140136];1
35140136;0.861243;40.0;0.0026913875;[35140114, 35140126, 35140127, 35140129, 35140130, 35140135];1
35140139;0.1723355;40.0;0.0043084;[];1
35170425;0.5987321;40.0;0.002138357142857143;[35170427, 35170428, 35170429, 35170632, 35172847, 35600996];2
35170427;0.2292481;40.0;0.0028656000000000003;[35170425, 35170428, 35170429];1
35170428;0.2653956;40.0;0.0013269599999999999;[35170425, 35170427, 35170444, 35172847, 111969964];4
35170429;0.2962433;40.0;0.001851525;[34113508, 35170425, 35170427, 35170444, 111969964];2
35170433;0.3312412;40.0;0.0027603333333333334;[35170434, 35170438, 35170443, 39359900];1
35170434;0.4409727;40.0;0.0022048600000000003;[34113508, 35170433, 35170444, 35172847, 35600996];2
35170438;0.42047480000000004;40.0;0.0017519833333333335;[34113508, 35170433, 35170444, 35172847, 35600996];3
35170440;0.3680385;40.0;0.0030670000000000003;[35170444, 35172847, 35600996];1
35170443;0.2041365;40.0;0.0017011333333333334;[34113508, 35170433, 35170444];3
35170444;0.9092268;40.0;0.0025256333333333334;[35170428, 35170429, 35170434, 35170438, 35170440, 35170443, 35170632, 39359900, 40268519, 119953810];2
35170445;0.6481993;40.0;0.005401666666666666;[40268519, 119953810];0
35170632;0.125771;40.0;0.00157215;[34113071, 35170425, 35170444, 119953810];3
35172844;0.5194449;40.0;0.00259722;[34113071, 35172847, 35172850, 111892640, 111924559];1
35172847;0.8917368;40.0;0.0027866749999999997;[35170425, 35170428, 35170434, 35170438, 35170440, 35172844, 40268519, 119953810];1
35172850;0.8418992;40.0;0.00210474;[35172844, 35893280, 35893283, 35893291, 35893298, 111890230, 119953810, 154077122];2
35173301;0.6431448;40.0;0.0014617;[28796823, 35173534, 35173538, 35893265, 35893266, 35893267, 64222866];3
35173500;0.6567586;40.0;0.0018243333333333332;[28796823, 34113660, 35173527, 35893266, 64222866];2
35173527;0.2657092;40.0;0.002214233333333333;[28796823, 35173500, 64222866];2
35173531;0.2867734;40.0;0.0071693;[35893266, 64222866];0
35173532;0.5858904;40.0;0.0016274888888888888;[35173534, 35173538, 35893266, 35893267, 64222866];3
35173534;0.2143531;40.0;0.0053588;[35173301, 35173532];0
35173538;0.24986;40.0;0.00312325;[35173301, 35173532, 35173543];1
35173543;0.44545789999999996;40.0;0.001590942857142857;[28796823, 35173538, 35893266, 35893267, 64222866];3
35186063;0.2173032;40.0;0.001358175;[27767555, 27767565, 35186064, 35186068, 111961040];3
35186064;0.1243065;40.0;0.0010359;[27898324, 35186063, 111915954, 121484524];5
35186065;0.220356;40.0;0.001377225;[27767555, 35186066, 111932553, 121484524];3
35186066;0.2150046;40.0;0.0010750199999999999;[27767555, 27767565, 35186065, 35186067, 35186074, 35186075];4
35186067;0.32901199999999997;40.0;0.0011750428571428572;[27767555, 27767565, 35186066, 35186068, 35186069, 35186074, 35186075, 121484524];4
35186068;0.089316;40.0;0.0007443000000000001;[27898324, 35186063, 35186067, 35186074, 111915954];7
35186069;0.0928257;40.0;0.0007735666666666667;[27767565, 35186067, 35186074, 35186075];6
35186074;0.2277745;40.0;0.0014235749999999998;[27767555, 35186066, 35186067, 35186068, 35186069];3
35186075;0.21880650000000001;40.0;0.00136755;[27767555, 35186066, 35186067, 35186069];3
35186077;1.342295;40.0;0.0014590260869565218;[27925322, 35186079, 35186081, 35186082, 35186095, 35186097, 35186104, 35451261, 35451262, 35451271, 35451282, 35451297, 35451299, 111913285, 121484520, 121577484];3
35186079;0.221192;40.0;0.0009216166666666667;[27767565, 35186077, 35186106, 35451291, 111890109, 111919479];5
35186081;0.4987197;40.0;0.0015584875;[35186077, 35186095, 35186097, 35186098, 35186104, 121484520];3
35186082;0.5008553;40.0;0.0017887857142857143;[35186077, 35186097, 35186098, 35186104, 111946156, 121484520];2
35186083;0.1714322;40.0;0.0021429;[35186095, 35186097];2
35186095;0.14081480000000002;40.0;0.00176015;[35186077, 35186081, 35186083];2
35186097;0.218205;40.0;0.001091;[27767565, 35186077, 35186081, 35186082, 35186083];4
35186098;0.1167495;40.0;0.0009729;[27767565, 35186081, 35186082];5
35186103;0.1053285;40.0;0.0026332;[35186104];1
35186104;0.2552868;60.0;0.0007091166666666667;[27767564, 27767565, 35186077, 35186081, 35186082, 35186103, 35451310];4
35186106;0.4160479;40.0;0.0011556666666666668;[35186079, 35451261, 35451262, 35451271, 35451282, 121484520];4
35338993;0.2204428;40.0;0.0055111;[32775468, 52967808, 111939915];0
35338994;0.8143845999999999;40.0;0.005089925;[35338996, 35339008, 35339009, 111932890, 111963483, 111969731];0
35338995;0.2395937;40.0;0.0029949;[35339018, 111898812, 111932367];1
35338996;0.8041252;40.0;0.0018275545454545454;[33784398, 33784456, 35338994, 35339009, 35339018, 35339021, 111891692, 111893405, 111908053, 111912461, 111943539];2
35338997;0.5271987;40.0;0.001882857142857143;[33784606, 34188300, 35339000, 37749490, 111904618, 111928442];2
35338998;0.1267936;40.0;0.0031698;[35339014, 35339022];1
35338999;0.3599791;40.0;0.0017999000000000001;[28746541, 35339007, 35339014, 35339017, 35339022];2
35339000;0.24558359999999999;40.0;0.0015349;[32775522, 33784606, 35338997, 35339012, 111894776, 111898812];3
35339003;0.5492108;40.0;0.0019614714285714286;[34188297, 34188300, 37749490, 111891820, 111902062, 111969077];2
35339004;0.5250163999999999;40.0;0.0018750571428571426;[35069337, 35069338, 35339007, 111917343, 111921292, 111923487, 111923494, 111923911];2
35339006;0.2655511;40.0;0.00132776;[28746541, 35339007, 35339014, 35339022, 37566632, 39359900];4
35339007;0.7508947;40.0;0.002346525;[24315812, 35338999, 35339004, 35339006, 38945937, 111895969, 111942908];2
35339008;1.1248773;40.0;0.002163230769230769;[32775468, 33784398, 33784456, 35338994, 35339009, 35339018, 35339026, 111885220, 111894776, 111898812, 111956692, 111967700];2
35339009;0.7447979;40.0;0.003103316666666667;[35338994, 35338996, 35339008, 35339010, 111893298, 111910248, 111960201, 111965136];1
35339010;0.34218309999999996;40.0;0.002138675;[33784398, 33784456, 35339009, 35339018, 35339021];2
35339012;0.3729754;40.0;0.0023311;[35339000, 35339018, 35339026];2
35339014;0.3086429;40.0;0.0038580000000000003;[35338998, 35338999, 35339006];1
35339015;0.1743924;40.0;0.0014533;[34188297];3
35339016;0.1891632;40.0;0.0047291;[111965471, 172982540];1
35339017;0.7046373;40.0;0.0022020125;[34188321, 34188323, 35069338, 35338999, 111921292, 111925284, 111933350, 111959734];2
35339018;1.1446235;40.0;0.0026014090909090913;[32775522, 33784606, 35338995, 35338996, 35339008, 35339010, 35339012, 35339026, 35339027, 37749490, 111894776, 111898812, 111913555];1
35339019;0.198379;40.0;0.0049595;[34188135, 34188297];0
35339020;2.0518887;60.0;0.0018998944444444446;[26407451, 28811075, 28811080, 34110098, 37566461, 37615319, 37615332, 37615337, 38946019, 111890044, 111894092, 111910479, 111911036, 111929222, 111941726, 111947462, 127873581];1
35339021;0.1839256;40.0;0.0022991;[35338996, 35339010, 111881356];2
35339022;0.4800544;40.0;0.0030003499999999997;[35338998, 35338999, 35339006, 111956555];1
35339023;0.44353470000000006;40.0;0.0036961333333333335;[33784606, 37749490, 111958572];1
35339024;0.9218666;40.0;0.0038411;[111886333, 111920625, 111925750];1
35339025;0.1943239;40.0;0.0016193666666666667;[111913626, 111925750, 158449742];3
35339026;0.4444133;40.0;0.0027776;[35339008, 35339012, 35339018, 111894776, 111898812];1
35339027;0.3459573;40.0;0.002883;[33784456, 35339018, 111894776, 111898812, 111932367];1
35339028;0.1445823;40.0;0.0036146;[37566621, 38945937];1
